first_noflow_date,last_noflow_date,total_noflow_days
2002-04-18,2002-05-03,16
2002-05-13,2002-05-16,4
2002-05-18,2002-05-18,1
2002-05-28,2002-06-03,7
2002-06-30,2002-07-31,32
2002-08-03,2003-09-08,402
2003-09-26,2004-06-19,268
2004-08-01,2006-08-19,749
2006-09-08,2007-01-01,116
2007-01-22,2007-02-19,29
2008-08-23,2008-08-23,1
2008-08-27,2008-09-01,6
2011-06-18,2013-08-14,789
2013-08-23,2014-07-02,314
2014-07-11,2015-05-07,301
2015-05-12,2015-05-24,13
2015-07-15,2015-07-26,12
2015-08-16,2016-04-18,247
2016-11-19,2016-11-19,1
2016-11-23,2016-11-26,4
2016-11-28,2017-01-15,49
2017-01-23,2017-03-31,68
2017-09-20,2017-09-24,5
2017-09-26,2017-10-03,8
2018-03-03,2018-03-03,1
2018-03-06,2018-03-18,13
2018-03-31,2018-05-01,32
2018-05-15,2018-07-29,76
